MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT1_ST11,Clade B,,,,,,
MGT1_ST136,Clade B,,,,,,
MGT1_ST1479,,,,,,,MGT1_ST1479
MGT1_ST180,Clade A,,,,,,
MGT1_ST183,Clade B,Europe MGT1_ST183,,,,,
MGT1_ST1925,Clade B,Global epidemic MGT4_CC1,,,,,
MGT1_ST1972,Clade C,,,,,,
MGT1_ST1975,Clade HC900_2226,,,,,,
MGT1_ST3304,Clade A,,,,,,
MGT1_ST77,Clade HC900_26141,,,,,,
MGT1_ST78,Clade HC900_5460 Gallinarum,,,,,,
MGT2_CC1,Clade B,,,,,,
MGT2_ST11,,,Europe,,,,
MGT2_ST117,,,Europe,,,,
MGT2_ST13,,,Oceania,,,,
MGT2_ST136,,,North America,,,,
MGT2_ST14,,,Oceania,,,,
MGT2_ST142,,,North America,,,,
MGT2_ST149,,,North America,,,,
MGT2_ST15,,,Europe,,,,
MGT2_ST153,,,North America,,,,
MGT2_ST162,,,Europe,,,,
MGT2_ST17,,,Europe,,,,
MGT2_ST170,,,North America,,,,
MGT2_ST206,,,North America,,,,
MGT2_ST22,,,North America,,,,
MGT2_ST3,,,Europe,,,,
MGT2_ST31,,,North America,,,,
MGT2_ST36,,,North America,,,,
MGT2_ST38,,,North America,,,,
MGT2_ST5,Clade B,Africa MGT3_CC10,Africa,,,,
MGT2_ST51,,,North America,,,,
MGT2_ST64,,,North America,,,,
MGT2_ST66,,,North America,,,,
MGT2_ST7,,,Europe,,,,
MGT2_ST79,,,Europe,,,,
MGT2_ST81,,,Europe,,,,
MGT2_ST82,,,Europe,,,,
MGT2_ST9,,,North America,,,,
MGT2_ST91,,,Europe,,,,
MGT2_ST98,,,Oceania,,,,
MGT3_CC1,Clade B,,,,,,
MGT3_CC10,Clade B,Africa MGT3_CC10,,,,,
MGT3_CC107,Clade B,North America MGT3_CC107,,,,,
MGT3_CC15,Clade B,Africa MGT3_CC15,,,,,
MGT3_CC18,Clade B,North America MGT3_CC18,,,,,
MGT3_ST10,,,Africa,,,,
MGT3_ST1018,,,North America,,,,
MGT3_ST1023,,,North America,,,,
MGT3_ST1024,,,North America,,,,
MGT3_ST1043,,,North America,,,,
MGT3_ST105,,,North America,,,,
MGT3_ST107,,,North America,,,,
MGT3_ST110,,,North America,,,,
MGT3_ST1120,,,North America,,,,
MGT3_ST1143,,,North America,,,,
MGT3_ST1153,,,,,,,
MGT3_ST121,,,North America,,,,
MGT3_ST129,,,North America,,,,
MGT3_ST13,,,Europe,,,,
MGT3_ST132,,,North America,,,,
MGT3_ST137,,,,,,,MGT3_ST137
MGT3_ST139,,,North America,,,,
MGT3_ST14,,,Europe,,,,
MGT3_ST143,,,Europe,,,,
MGT3_ST146,,,Europe,,,,
MGT3_ST148,,,North America,,,,
MGT3_ST149,,,North America,,,,
MGT3_ST15,,,Africa,,,,MGT3_ST15
MGT3_ST16,,,Europe,,,,
MGT3_ST161,,,Europe,,,,MGT3_ST161
MGT3_ST1612,,,,,,,MGT3_ST1612
MGT3_ST167,,,Europe,,,,
MGT3_ST173,,,Europe,,,,
MGT3_ST175,,,North America,,,,
MGT3_ST177,,,Europe,,,,
MGT3_ST178,,,Europe,,,,
MGT3_ST18,,,North America,,,,
MGT3_ST180,,,North America,,,,
MGT3_ST181,,,North America,,,,
MGT3_ST183,,,North America,,,,
MGT3_ST188,,,North America,,,,
MGT3_ST189,,,North America,,,,
MGT3_ST19,,,Europe,,,,
MGT3_ST190,,,North America,,,,
MGT3_ST194,,,North America,,,,
MGT3_ST20,,,Europe,,,,
MGT3_ST202,,,Europe,,,,
MGT3_ST205,,,Europe,,,,
MGT3_ST21,,,Europe,,,,
MGT3_ST210,,,North America,,,,
MGT3_ST217,,,North America,,,,
MGT3_ST218,,,North America,,,,
MGT3_ST24,,,Europe,,,,
MGT3_ST241,,,Europe,,,,
MGT3_ST243,,,Europe,,,,
MGT3_ST25,,,Europe,,,,
MGT3_ST253,,,,,,,MGT3_ST253
MGT3_ST256,,,Europe,,,,
MGT3_ST257,,,Europe,,,,
MGT3_ST258,,,Europe,,,,
MGT3_ST26,,,Europe,,,,
MGT3_ST261,,,North America,,,,
MGT3_ST27,,,Europe,,,,
MGT3_ST289,,,,,,,MGT3_ST289
MGT3_ST290,,,North America,,,,
MGT3_ST293,,,Europe,,,,
MGT3_ST295,,,Europe,,,,
MGT3_ST296,,,Europe,,,,
MGT3_ST30,,,,,,,MGT3_ST30
MGT3_ST301,,,North America,,,,MGT3_ST301
MGT3_ST303,,,Europe,,,,
MGT3_ST304,,,Europe,,,,
MGT3_ST31,,,Europe,,,,
MGT3_ST314,,,North America,,,,
MGT3_ST323,,,,,,,MGT3_ST323
MGT3_ST384,,,,,,,MGT3_ST384
MGT3_ST398,,,North America,,,,
MGT3_ST399,,,,,,,
MGT3_ST40,,,Oceania,,,,
MGT3_ST400,,,North America,,,,
MGT3_ST41,,,Oceania,,,,
MGT3_ST427,,,Europe,,,,
MGT3_ST435,,,,,,,MGT3_ST435
MGT3_ST436,,,Europe,,,,
MGT3_ST439,,,Europe,,,,
MGT3_ST452,,,North America,,,,
MGT3_ST454,,,North America,,,,
MGT3_ST463,,,North America,,,,
MGT3_ST47,,,,,,,
MGT3_ST48,,,Oceania,,,,
MGT3_ST481,,,North America,,,,
MGT3_ST502,,,North America,,,,
MGT3_ST546,,,North America,,,,
MGT3_ST57,,,Europe,,,,
MGT3_ST579,,,,,,,
MGT3_ST602,,,,,,,MGT3_ST602
MGT3_ST632,,,Europe,,,,
MGT3_ST69,,,Europe,,,,
MGT3_ST70,,,Europe,,,,
MGT3_ST701,,,Europe,,,,
MGT3_ST713,,,,,,,MGT3_ST713
MGT3_ST8,Clade B,Global epidemic MGT4_CC1,,,,,
MGT3_ST816,,,Europe,,,,
MGT3_ST819,,,,,,,MGT3_ST819
MGT3_ST828,,,Europe,,,,
MGT3_ST869,,,Europe,,,,
MGT3_ST9,,,,,,,MGT3_ST9
MGT3_ST92,,,North America,,,,
MGT3_ST95,,,North America,,,,
MGT3_ST98,,,North America,,,,
MGT4_CC1,Clade B,Global epidemic MGT4_CC1,,,,,
MGT4_CC101,Clade B,Global epidemic MGT4_CC101,,,,,
MGT4_CC129,Clade B,North America MGT4_CC129,,,,,
MGT4_CC13,Clade B,Global epidemic MGT4_CC13,,,,,
MGT4_CC30,Clade B,Europe MGT4_CC30,,,,,
MGT4_CC485,Clade B,Global epidemic MGT4_CC1,,,,,
MGT4_CC69,Clade B,Global epidemic MGT4_CC1,,,,,
MGT4_ST10,,,,,,,
